#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000416	2014-10-24	2014.811000	2014.631654	2014.811000
MH885639	2014-10-24	2014.811000	2014.811000	2014.811000
MH885638	2014-12-07	2014.934000	2014.934000	2014.934000
NODE_0000053	2014-08-09	2014.604153	2014.266357	2014.764000
MH885643	2014-10-07	2014.767000	2014.767000	2014.767000
NODE_0000054	2014-10-06	2014.764000	2014.544432	2014.764000
MH885645	2014-10-06	2014.764000	2014.764000	2014.764000
MH885640	2014-10-20	2014.800000	2014.800000	2014.800000
NODE_0000419	2013-07-02	2013.499149	2012.826900	2014.142901
NODE_0000058	2014-07-09	2014.519289	2013.935454	2014.764000
MH885644	2014-10-06	2014.764000	2014.764000	2014.764000
NODE_0000059	2014-09-09	2014.688384	2014.376267	2014.786000
MH885651	2014-10-30	2014.830000	2014.830000	2014.830000
NODE_0000066	2014-10-14	2014.786000	2014.600424	2014.786000
MH885641	2014-10-14	2014.786000	2014.786000	2014.786000
MH885642	2014-10-14	2014.786000	2014.786000	2014.786000
NODE_0000423	2013-10-28	2013.822394	2013.328333	2014.268166
KM887902	2014-01-01	2014.000000	2014.000000	2014.550262
NODE_0000424	2014-01-06	2014.015226	2013.579923	2014.431859
KP090459	2014-10-21	2014.805000	2014.805000	2014.805000
NODE_0000055	2014-02-01	2014.086562	2013.712125	2014.442889
NODE_0000079	2014-04-17	2014.291021	2013.955118	2014.613087
NODE_0000428	2015-03-04	2015.170788	2014.928855	2015.244000
KX830928	2015-03-31	2015.244000	2015.178465	2015.244000
KX830929	2015-05-01	2015.329000	2015.329000	2015.394508
NODE_0000070	2014-07-13	2014.529879	2014.257983	2014.658000
KM887905	2014-08-06	2014.595000	2014.595000	2014.880502
NODE_0000073	2014-08-29	2014.658000	2014.457643	2014.658000
KM887900	2014-08-29	2014.657797	2014.595000	2014.948000
KM975348	2014-08-29	2014.658000	2014.658000	2014.658000
NODE_0000084	2014-02-26	2014.153436	2013.815922	2014.466115
KP196363	2014-09-17	2014.712000	2014.712000	2014.712000
NODE_0000431	2014-08-16	2014.622417	2014.253283	2014.995336
KX789238	2015-10-30	2015.830000	2015.768129	2015.830000
NODE_0000075	2014-10-09	2014.772362	2014.468316	2015.064845
NODE_0000078	2015-02-23	2015.146208	2014.758134	2015.560879
LC481199	2015-11-17	2015.877000	2015.877000	2015.877000
NODE_0000433	2015-09-02	2015.669606	2015.343335	2015.815471
KX789239	2015-11-01	2015.833000	2015.833000	2015.895900
LC481207	2015-11-09	2015.855000	2015.855000	2015.855000
NODE_0000435	2015-01-29	2015.077431	2014.774878	2015.364628
LC481140	2015-09-21	2015.721000	2015.721000	2015.721000
NODE_0000081	2015-03-04	2015.170903	2014.907750	2015.404454
LC481202	2015-10-14	2015.784000	2015.784000	2015.784000
NODE_0000082	2015-04-14	2015.282911	2015.014539	2015.497387
LC481201	2015-10-02	2015.751000	2015.751000	2015.751000
NODE_0000083	2015-05-21	2015.386078	2015.076807	2015.639046
LC481185	2015-10-26	2015.819000	2015.819000	2015.819000
LC481203	2015-11-10	2015.860000	2015.860000	2015.860000
NODE_0000439	2004-04-12	2004.280250	2003.406911	2005.344406
NODE_0000085	2004-11-16	2004.875743	2004.187120	2005.655630
NODE_0000086	2006-02-25	2006.152759	2005.111300	2007.004292
MK511856	2007-01-01	2007.000000	2007.000000	2007.491790
KP455221	2007-09-26	2007.734336	2007.134000	2007.997000
NODE_0000442	2005-04-26	2005.316900	2004.706920	2005.889453
NODE_0000443	2007-03-05	2007.173775	2006.779926	2007.853400
MN240493	2007-07-05	2007.508009	2007.000000	2007.997000
MK511858	2007-07-05	2007.507491	2007.000000	2007.997000
NODE_0000444	2006-01-26	2006.069834	2005.733748	2006.519617
MN240491	2006-03-31	2006.244777	2006.000000	2006.997000
NODE_0000445	2006-09-18	2006.714120	2006.408824	2006.734000
KX255363	2006-09-25	2006.734000	2006.734000	2006.734000
MN240503	2006-11-17	2006.878768	2006.685000	2006.997000
NODE_0000446	2004-06-27	2004.486576	2003.707531	2005.448354
NODE_0000447	2005-04-19	2005.297372	2004.490622	2006.255329
NODE_0000448	2006-04-15	2006.285150	2005.498890	2007.186694
KY348862	2008-12-30	2008.997000	2008.318237	2008.997000
KT959173	2010-06-01	2010.414000	2010.414000	2010.477680
NODE_0000449	2005-08-28	2005.655008	2004.941758	2006.481528
NODE_0000450	2007-04-10	2007.272879	2006.492709	2007.997000
MN240492	2007-07-27	2007.569842	2007.000000	2007.997000
MK511857	2007-07-27	2007.569645	2007.000000	2007.997000
NODE_0000451	2006-04-21	2006.301922	2005.652856	2006.998101
NODE_0000452	2007-11-12	2007.864563	2007.369685	2008.251052
JX101791	2008-05-31	2008.415000	2008.415000	2008.478354
NODE_0000098	2008-01-10	2008.027294	2007.653788	2008.277306
JX101794	2008-06-30	2008.495000	2008.431024	2008.495000
NODE_0000099	2008-04-18	2008.296107	2007.984984	2008.474066
JX101793	2008-05-31	2008.415000	2008.415000	2008.478071
NODE_0000100	2008-06-01	2008.415687	2008.226315	2008.469245
JX101792	2008-06-17	2008.461352	2008.415000	2008.495000
JX101790	2008-06-18	2008.461852	2008.415000	2008.495000
NODE_0000456	2006-08-29	2006.659561	2006.110792	2007.219310
NODE_0000457	2006-12-16	2006.957551	2006.459466	2007.453935
NODE_0000458	2008-07-18	2008.544925	2007.868248	2008.997000
MN240494	2008-10-17	2008.794717	2008.000000	2008.997000
MK511859	2008-10-17	2008.795047	2008.000000	2008.997000
NODE_0000459	2007-05-06	2007.344920	2006.922909	2007.727256
AB667898	2008-01-26	2008.070154	2008.000000	2008.997000
AB667897	2007-12-30	2007.997000	2007.602700	2007.997000
NODE_0000460	2007-07-21	2007.551088	2007.379085	2007.701431
MH780661	2007-09-04	2007.674000	2007.674000	2007.736900
MH780658	2007-09-04	2007.674000	2007.674000	2007.736897
MH780662	2007-09-01	2007.666000	2007.666000	2007.735849
MH780655	2007-09-01	2007.666000	2007.666000	2007.735849
MH780657	2007-09-01	2007.666000	2007.666000	2007.735849
MH780659	2007-09-01	2007.666000	2007.666000	2007.728900
MH780660	2007-09-01	2007.666000	2007.666000	2007.735849
NODE_0000464	2007-09-11	2007.694600	2007.514527	2007.883861
KP657703	2007-10-27	2007.819944	2007.658850	2007.997000
KP657702	2007-12-30	2007.997000	2007.804668	2007.997000
NODE_0000462	2007-09-01	2007.666907	2007.566918	2007.745000
MH780656	2007-09-27	2007.737388	2007.666000	2007.745000
MH780663	2007-09-27	2007.737388	2007.666000	2007.745000
NODE_0000470	2004-12-03	2004.921915	2004.235360	2005.768216
NODE_0000109	2005-01-20	2005.053792	2004.447049	2005.807072
NODE_0000475	2008-11-24	2008.896983	2008.625642	2008.997000
KP242036	2012-01-01	2012.000000	2012.000000	2012.512215
KJ472878	2008-12-30	2008.997000	2008.760594	2008.997000
NODE_0000471	2006-01-21	2006.054904	2005.476872	2006.632948
KP455260	2007-01-01	2007.000000	2007.000000	2007.762734
NODE_0000115	2006-04-10	2006.272218	2005.723212	2006.771582
KP455098	2007-10-12	2007.778634	2007.000000	2007.997000
NODE_0000116	2006-07-08	2006.515408	2005.870671	2007.068326
MN240515	2009-01-01	2009.000000	2009.000000	2009.710722
MN240512	2007-12-04	2007.924692	2007.332000	2007.997000
NODE_0000476	2005-05-29	2005.406311	2004.768822	2006.199572
NODE_0000477	2006-12-13	2006.949621	2006.452500	2007.369904
JF830034	2007-09-25	2007.734000	2007.734000	2007.734000
NODE_0000119	2007-02-21	2007.141086	2006.702950	2007.462498
JF830035	2007-10-24	2007.811000	2007.811000	2007.811000
JF830032	2007-09-25	2007.734000	2007.734000	2007.734000
NODE_0000479	2005-11-22	2005.892682	2005.265109	2006.674742
JF830028	2006-10-03	2006.756000	2006.756000	2006.756000
NODE_0000480	2006-03-17	2006.205649	2005.619836	2006.914082
NODE_0000496	2006-11-21	2006.887835	2006.288467	2007.587447
KP455230	2010-01-01	2010.000000	2010.000000	2010.737304
NODE_0000497	2007-07-18	2007.544303	2006.968106	2008.118540
KJ472881	2009-03-07	2009.180571	2009.000000	2009.997000
NODE_0000498	2008-02-23	2008.145646	2007.617356	2008.598498
NODE_0000499	2010-02-03	2010.093109	2009.864586	2010.159000
JX101788	2010-02-28	2010.159000	2010.100634	2010.159000
JX101789	2010-03-01	2010.162000	2010.162000	2010.227510
NODE_0000500	2008-10-06	2008.764961	2008.421675	2008.997000
KJ472879	2008-12-30	2008.997000	2008.725006	2008.997000
KJ472887	2011-01-01	2011.000000	2011.000000	2011.601092
NODE_0000143	2006-04-19	2006.297146	2005.773073	2006.928054
NODE_0000507	2006-08-19	2006.630494	2006.127533	2007.212222
NODE_0000508	2008-09-20	2008.720085	2008.452608	2008.743000
KC763165	2008-11-30	2008.913000	2008.850422	2008.913000
KC763166	2008-10-01	2008.749000	2008.749000	2008.821451
KC763163	2008-10-01	2008.749000	2008.749000	2008.821451
JF830038	2008-09-28	2008.743000	2008.743000	2008.743000
NODE_0000511	2008-07-13	2008.532629	2008.072883	2008.959868
NODE_0000512	2009-01-07	2009.019163	2008.625030	2009.352922
KT023106	2009-10-21	2009.805000	2009.805000	2009.805000
KP455231	2010-01-01	2010.000000	2010.000000	2010.688263
NODE_0000513	2010-07-27	2010.569361	2010.153394	2010.874001
KP317494	2010-09-26	2010.736561	2010.000000	2010.997000
KP317495	2010-12-30	2010.997000	2010.655928	2010.997000
NODE_0000171	2006-07-26	2006.566027	2006.030689	2007.221735
NODE_0000133	2007-01-08	2007.021864	2006.294196	2007.838000
NODE_0000135	2007-08-12	2007.612430	2007.112046	2007.838000
JF830083	2007-11-02	2007.838000	2007.838000	2007.838000
NODE_0000136	2007-10-19	2007.797839	2007.350073	2008.030656
KC763170	2008-10-31	2008.833000	2008.833000	2008.907000
NODE_0000138	2007-12-07	2007.933727	2007.578897	2008.171163
KP455103	2008-01-01	2008.000000	2008.000000	2008.502542
NODE_0000141	2008-01-10	2008.026678	2007.699481	2008.291635
KC763161	2008-10-01	2008.749000	2008.749000	2008.814384
NODE_0000142	2008-02-15	2008.125456	2007.768996	2008.428694
KR108018	2008-10-01	2008.749000	2008.749000	2008.814630
NODE_0000506	2008-11-11	2008.863000	2008.693254	2008.863000
JF830043	2008-11-11	2008.863000	2008.863000	2008.863000
JF830044	2008-11-21	2008.888000	2008.888000	2008.888000
NODE_0000481	2007-06-15	2007.453234	2006.825955	2008.130321
NODE_0000482	2008-04-27	2008.321475	2007.819967	2008.783948
KJ472880	2008-12-30	2008.997000	2008.628375	2008.997000
NODE_0000483	2009-09-26	2009.736606	2009.069340	2010.203324
KJ472883	2010-12-30	2010.997000	2010.523366	2010.997000
KJ472884	2010-01-01	2010.000000	2010.000000	2010.403532
NODE_0000484	2008-05-22	2008.389969	2007.757536	2009.028192
KP455105	2009-01-01	2009.000000	2009.000000	2009.527664
NODE_0000148	2008-07-13	2008.532707	2008.006907	2009.042438
NODE_0000491	2008-09-28	2008.740603	2008.276539	2009.169489
MN240516	2009-12-30	2009.997000	2009.460318	2009.997000
JX101810	2009-09-29	2009.745000	2009.681729	2009.745000
NODE_0000150	2008-12-23	2008.975538	2008.483454	2009.396152
NODE_0000152	2009-03-09	2009.186147	2008.783966	2009.473473
JX101812	2009-09-24	2009.728948	2009.666000	2009.745000
JX101846	2009-09-13	2009.699504	2009.666000	2009.745000
NODE_0000155	2009-06-04	2009.423613	2008.976249	2009.745000
JX101805	2009-09-01	2009.666000	2009.666000	2009.739768
NODE_0000160	2009-08-05	2009.591899	2009.276646	2009.745000
KP455240	2010-01-01	2010.000000	2010.000000	2010.527531
NODE_0000161	2009-09-01	2009.666907	2009.470916	2009.745000
JX101807	2009-09-29	2009.745000	2009.675561	2009.745000
NODE_0000162	2009-09-25	2009.731887	2009.483359	2010.112311
NODE_0000163	2009-11-29	2009.911781	2009.663153	2010.171085
KP455242	2010-12-30	2010.997000	2010.652569	2010.997000
KP455237	2010-01-01	2010.000000	2010.000000	2010.560720
NODE_0000167	2010-01-01	2010.000834	2009.759799	2010.434806
KP455241	2010-02-16	2010.127744	2010.000000	2010.997000
KP455239	2010-02-16	2010.127096	2010.000000	2010.997000
NODE_0000516	2006-12-13	2006.950029	2006.441496	2007.537544
NODE_0000517	2007-04-08	2007.266486	2006.802094	2007.761965
NODE_0000518	2009-09-25	2009.732000	2009.376839	2009.732000
KT231899	2009-09-25	2009.732000	2009.732000	2009.732000
KT231900	2009-09-25	2009.732000	2009.732000	2009.732000
NODE_0000519	2008-02-08	2008.105101	2007.740923	2008.387644
JF830039	2008-10-01	2008.751000	2008.751000	2008.751000
NODE_0000520	2008-06-06	2008.431092	2008.154337	2008.577354
KP657707	2009-01-10	2009.025155	2009.000000	2009.997000
JF830036	2008-08-25	2008.650000	2008.650000	2008.650000
NODE_0000521	2007-09-28	2007.741128	2007.076404	2008.475426
NODE_0000174	2009-09-20	2009.718702	2009.039426	2010.163465
NODE_0000175	2010-01-01	2010.000834	2009.617172	2010.369706
KP455238	2010-01-04	2010.010674	2010.000000	2010.997000
NODE_0000176	2010-01-29	2010.079214	2009.861955	2010.609195
KP455236	2010-04-24	2010.310774	2010.000000	2010.997000
KP455107	2010-04-24	2010.310027	2010.000000	2010.997000
NODE_0000177	2009-12-12	2009.947211	2009.544285	2010.184709
KP455234	2010-01-01	2010.000000	2010.000000	2010.493552
NODE_0000179	2010-01-02	2010.003220	2009.749882	2010.282466
KP455235	2010-02-14	2010.121691	2010.000000	2010.997000
NODE_0000180	2010-02-20	2010.138018	2009.849685	2010.402575
MK511862	2011-01-01	2011.000000	2011.000000	2011.651912
NODE_0000182	2010-03-31	2010.246372	2009.898524	2010.548029
JF830056	2010-09-13	2010.699000	2010.699000	2010.699000
JF830055	2010-09-06	2010.682000	2010.682000	2010.682000
NODE_0000522	2008-06-18	2008.462830	2007.857804	2009.092577
JF830057	2010-09-13	2010.701000	2010.701000	2010.701000
NODE_0000523	2009-02-21	2009.139825	2008.703355	2009.572946
KP455253	2009-07-02	2009.499000	2009.499000	2009.861572
NODE_0000208	2009-06-27	2009.487582	2009.153735	2009.699264
KP455225	2009-07-18	2009.545000	2009.545000	2009.903501
NODE_0000212	2009-07-19	2009.546258	2009.393802	2009.839890
KP455101	2009-09-30	2009.745939	2009.545000	2009.997000
KP455226	2009-09-30	2009.745304	2009.545000	2009.997000
NODE_0000186	2009-04-11	2009.275546	2008.933355	2009.620740
KP455115	2009-12-30	2009.997000	2009.693453	2009.997000
NODE_0000189	2009-06-19	2009.464919	2009.172899	2009.743990
KP455255	2010-03-19	2010.213297	2010.000000	2010.997000
KP455254	2009-10-27	2009.821746	2009.592000	2009.997000
NODE_0000190	2009-04-17	2009.291650	2008.955131	2009.640312
NODE_0000191	2009-09-10	2009.692916	2009.221304	2010.189317
KP455233	2010-01-01	2010.000000	2010.000000	2010.494734
KP455252	2010-08-03	2010.588789	2010.000000	2010.997000
NODE_0000534	2009-09-13	2009.700881	2009.384382	2009.997000
KP455227	2009-11-30	2009.912563	2009.699000	2009.997000
KP455099	2009-11-30	2009.912563	2009.699000	2009.997000
NODE_0000193	2009-03-22	2009.219643	2008.845256	2009.590990
KP455251	2009-09-20	2009.718830	2009.685000	2009.997000
NODE_0000535	2009-07-17	2009.542116	2009.219925	2009.841181
KP455102	2010-12-08	2010.935743	2010.000000	2010.997000
NODE_0000536	2009-11-28	2009.907925	2009.736956	2009.997000
KP455106	2009-12-30	2009.997000	2009.866218	2009.997000
KP455232	2010-01-01	2010.000000	2010.000000	2010.468987
NODE_0000545	2008-02-25	2008.152442	2007.536905	2008.836935
NODE_0000547	2008-10-17	2008.792995	2008.334297	2009.257129
JX101803	2009-08-11	2009.609416	2009.581000	2009.663000
KX261824	2009-09-22	2009.726000	2009.726000	2009.726000
NODE_0000197	2008-11-17	2008.877203	2008.163868	2009.634996
JF896296	2010-01-01	2010.000000	2010.000000	2010.736556
JQ924863	2010-09-09	2010.688000	2010.688000	2010.688000
NODE_0000549	2008-05-11	2008.358567	2007.719143	2009.063499
NODE_0000201	2008-07-06	2008.513349	2007.999192	2009.107604
NODE_0000651	2008-11-19	2008.884326	2008.475628	2009.341530
AB614440	2010-01-01	2010.000000	2010.000000	2010.641797
KX255355	2009-09-10	2009.693000	2009.693000	2009.693000
NODE_0000203	2008-09-17	2008.711198	2008.320895	2009.178426
NODE_0000579	2009-07-07	2009.514382	2009.106300	2009.694408
JX101808	2009-09-29	2009.745000	2009.674437	2009.745000
JX101811	2009-09-04	2009.674000	2009.674000	2009.736942
NODE_0000205	2008-11-14	2008.870458	2008.524428	2009.251377
NODE_0000586	2009-10-01	2009.748246	2009.375088	2009.819846
JX101813	2009-10-19	2009.799392	2009.748000	2009.830000
KJ472890	2010-09-04	2010.675624	2010.000000	2010.997000
NODE_0000581	2009-06-04	2009.422607	2009.002038	2009.841360
AB614441	2010-07-11	2010.525924	2010.000000	2010.997000
NODE_0000582	2010-01-01	2010.000834	2009.603043	2010.362754
AB614442	2010-01-01	2010.000000	2010.000000	2010.633358
NODE_0000583	2010-08-13	2010.614270	2010.162279	2010.972379
AB614443	2010-11-04	2010.841497	2010.000000	2010.997000
AB614444	2010-11-04	2010.841497	2010.000000	2010.997000
NODE_0000234	2008-07-21	2008.553471	2008.059847	2009.161044
KX255409	2009-09-04	2009.674000	2009.674000	2009.674000
NODE_0000632	2008-12-13	2008.950781	2008.448991	2009.482623
NODE_0000211	2009-04-19	2009.296692	2008.850721	2009.828785
KP657711	2010-01-01	2010.000000	2010.000000	2010.487793
NODE_0000634	2010-04-04	2010.256285	2009.743434	2010.701563
NODE_0000635	2011-04-08	2011.265982	2010.888123	2011.436093
LC629437	2011-06-24	2011.479000	2011.479000	2011.479000
AB817714	2011-06-24	2011.479000	2011.479000	2011.479000
NODE_0000636	2010-11-13	2010.868028	2010.441797	2011.172063
KX789259	2011-06-01	2011.414000	2011.414000	2011.484929
NODE_0000637	2011-06-04	2011.422000	2011.188438	2011.422000
AB817710	2011-06-04	2011.422000	2011.422000	2011.422000
AB861413	2011-06-04	2011.422000	2011.422000	2011.422000
NODE_0000638	2009-07-08	2009.515586	2009.089467	2009.864948
MN240495	2009-07-07	2009.515000	2009.515000	2009.993656
NODE_0000639	2009-08-23	2009.642149	2009.253949	2010.044677
JX101787	2010-03-08	2010.181830	2010.173000	2010.244000
NODE_0000647	2009-12-28	2009.991247	2009.618373	2010.407989
JF896301	2010-12-30	2010.997000	2010.716505	2010.997000
KR108019	2011-11-01	2011.833000	2011.833000	2011.896331
NODE_0000219	2009-09-28	2009.741703	2009.424082	2010.079849
MK511861	2010-01-01	2010.000000	2010.000000	2010.529877
NODE_0000220	2009-10-26	2009.816554	2009.533901	2010.110215
JF896300	2010-12-30	2010.997000	2010.412805	2010.997000
NODE_0000221	2009-11-26	2009.903496	2009.641248	2010.174337
MK511860	2010-08-28	2010.654815	2010.000000	2010.997000
NODE_0000640	2010-02-12	2010.117349	2009.833682	2010.456604
JF896299	2010-04-11	2010.274356	2010.000000	2010.997000
NODE_0000223	2010-03-25	2010.229983	2009.959387	2010.520325
JF896298	2010-09-02	2010.671141	2010.000000	2010.997000
NODE_0000642	2010-09-15	2010.704951	2010.313600	2010.997000
KP455228	2010-11-25	2010.899453	2010.000000	2010.997000
KC893519	2010-11-25	2010.899453	2010.000000	2010.997000
NODE_0000262	2008-06-09	2008.437606	2007.871369	2009.068544
NODE_0000587	2008-09-11	2008.696559	2008.176713	2009.256324
NODE_0000588	2009-04-24	2009.311796	2008.839758	2009.790162
JQ713906	2010-05-18	2010.378000	2010.378000	2010.378000
NODE_0000589	2009-07-24	2009.560880	2009.157631	2009.962184
JQ713904	2010-08-05	2010.592000	2010.592000	2010.592000
NODE_0000590	2009-10-17	2009.792566	2009.430949	2010.137575
NODE_0000282	2010-02-12	2010.117406	2009.804251	2010.205000
JQ713905	2010-03-16	2010.205000	2010.205000	2010.205000
JQ713908	2010-06-01	2010.416000	2010.416000	2010.416000
NODE_0000592	2009-12-23	2009.976592	2009.684449	2010.247052
JQ713907	2010-05-28	2010.403000	2010.403000	2010.403000
NODE_0000230	2010-01-19	2010.051272	2009.811158	2010.259246
JQ713913	2010-06-28	2010.490000	2010.490000	2010.490000
NODE_0000232	2010-02-19	2010.135286	2009.932412	2010.291727
JQ713910	2010-06-13	2010.449000	2010.449000	2010.449000
NODE_0000233	2010-03-22	2010.220005	2010.020299	2010.358873
JQ713909	2010-06-04	2010.422000	2010.422000	2010.422000
NODE_0000593	2010-06-23	2010.474000	2010.313709	2010.474000
JQ713911	2010-06-23	2010.474000	2010.474000	2010.474000
JQ713912	2010-06-23	2010.474000	2010.474000	2010.474000
NODE_0000597	2009-03-13	2009.194965	2008.726317	2009.644758
NODE_0000238	2009-06-15	2009.453542	2009.075766	2009.915039
NODE_0000604	2010-01-30	2010.080459	2009.677481	2010.409257
JF830067	2010-09-24	2010.729000	2010.729000	2010.729000
NODE_0000605	2010-09-24	2010.729000	2010.473375	2010.729000
KT231908	2010-09-24	2010.729000	2010.729000	2010.729000
KT231907	2010-09-24	2010.729000	2010.729000	2010.729000
NODE_0000246	2009-11-15	2009.872813	2009.440287	2010.451307
NODE_0000247	2010-01-01	2010.000834	2009.684453	2010.540579
JF896294	2010-02-04	2010.095503	2010.000000	2010.997000
JF896295	2010-11-12	2010.864737	2010.000000	2010.997000
NODE_0000256	2010-03-04	2010.171748	2009.831451	2010.598400
KP455257	2010-05-11	2010.357910	2010.000000	2010.997000
NODE_0000259	2010-07-20	2010.548438	2010.208095	2010.679000
JF830072	2010-10-06	2010.762000	2010.762000	2010.762000
NODE_0000261	2010-09-05	2010.679000	2010.469223	2010.679000
JF830054	2010-09-05	2010.679000	2010.679000	2010.679000
JF830053	2010-09-05	2010.679000	2010.679000	2010.679000
NODE_0000606	2009-06-13	2009.448356	2009.111154	2009.730250
NODE_0000607	2010-01-03	2010.005538	2009.559438	2010.428681
KY272879	2010-09-17	2010.712000	2010.712000	2010.712000
NODE_0000266	2010-05-26	2010.399937	2009.922354	2010.775000
JQ411806	2011-09-12	2011.696000	2011.696000	2011.696000
KY272880	2010-10-10	2010.775000	2010.775000	2010.775000
NODE_0000609	2009-07-25	2009.563612	2009.316798	2009.732000
NODE_0000321	2009-09-21	2009.722719	2009.499141	2010.144280
JF896293	2010-02-26	2010.154911	2010.000000	2010.693000
NODE_0000268	2010-01-01	2010.000880	2009.740328	2010.302754
KP455229	2010-02-12	2010.116395	2010.000000	2010.721000
NODE_0000270	2010-03-19	2010.211925	2009.889279	2010.521768
NODE_0000271	2010-05-23	2010.391108	2010.115700	2010.610107
JF830065	2010-09-21	2010.723000	2010.723000	2010.723000
JF830071	2010-10-06	2010.762000	2010.762000	2010.762000
NODE_0000273	2010-05-24	2010.393289	2010.038316	2010.660000
